id,Sender,Subject,Body,Response,Day,Part of Level
102,FIRST_NAME LAST_NAME,Missing Pen,GREETING everyoneCOMMA I seem to have lost my favorite pen somewhere. I last saw it in LOCATIONCOMMA but if anyone has seen it please let me know! It is ADV_DEGREE important to me that it is found.,GREETING so sorry to hear you lost your favorite pen! I'll keep a ADJ_DEGREE keen eye out.,,
103,FIRST_NAME LAST_NAME,Office Lottery,"GREETING! If you're receiving this email it's because your performance levels for this quarter look ADV_DEGREE ADJ_DESCRIPTIVE+. Because of this, you've been selected for a spa retreat at LOCATION on DAY_OF_WEEK! All expenses paid except for food, water, and transport. Please let me know if you're interested in participating before DAY_OF_WEEK!",GREETINGCOMMA AFFIRMATION I would love to go! Are any of the dates flexible or do I have to go on DAY_OF_WEEK?,,
104,HR@WORKPLACE.COM,Cats in Desks,"GREETING everyone. I thought I had made it ADV_DEGREE clear that cats are NOT allowed in the office at any time. Not at TIME on DAY_OF_WEEK, not after you're coming back from lunch break from LOCATION, not even if your cat is ADV_DEGREE ADV_MANNER+ behaved! NO CATS.","GREETING FIRST_NAMECOMMA I hope I'm not in trouble or anything, I don't even have a cat! I hope you catch those ADJ_DESCRIPTIVE workers in our office - who do they think they are, hiding cats in their desks? It's ADV_DEGREE sad. ",,
105,FIRST_NAME LAST_NAME,Remembering our Loss,"GREETINGCOMMA As you all know on DAY_OF_WEEK at TIME we lost our beloved office mascot, Scratchy. He was the best, we will all miss him and his jokes. For those still mourning a memorial service will be held at TIME tomorrow, with the official funeral being held at LOCATION at TIME on DAY_OF_WEEK.",GREETINGCOMMA Thank you for hosting the memorial service. I'll deeply miss Scratchy. See you at TIME on DAY_OF_WEEK.,,
106,FIRST_NAME LAST_NAME,Printer Issues,GREETINGCOMMA Is anyone else having an ADJ_DESCRIPTIVE- day with the printers too? I know this issue came up on DAY_OF_WEEK too - if anyone can help please let me know! I need the printer fixed by TIME,"GREETINGCOMMA Have you tried checking the printer ink? Or the paper tray? On DAY_OF_WEEK it was because we ran out of paper, could be the same issue. The printers are ADV_DEGREE finicky, so you might need to call in IT when they're back.",,
107,,,,,,
108,,,,,,
109,,,,,,
110,,,,,,
111,,,,,,
112,,,,,,
113,,,,,,
114,,,,,,
115,,,,,,
116,,,,,,
117,,,,,,
118,,,,,,
119,,,,,,
120,,,,,,
121,,,,,,
122,,,,,,
123,,,,,,
124,,,,,,
125,,,,,,
126,,,,,,
127,,,,,,
128,,,,,,
129,,,,,,
130,,,,,,
131,,,,,,
132,,,,,,
133,,,,,,
134,,,,,,
135,,,,,,
136,,,,,,
137,,,,,,
138,,,,,,
139,,,,,,
140,,,,,,
141,,,,,,
142,,,,,,
143,,,,,,
144,,,,,,
145,,,,,,
146,,,,,,
147,,,,,,
148,,,,,,
149,,,,,,
150,,,,,,
151,,,,,,
152,,,,,,
153,,,,,,
154,,,,,,
155,,,,,,
156,,,,,,
157,,,,,,
158,,,,,,
159,,,,,,
160,,,,,,
161,,,,,,
162,,,,,,
163,,,,,,
164,,,,,,
165,,,,,,
166,,,,,,
167,,,,,,
168,,,,,,
169,,,,,,
170,,,,,,
171,,,,,,
172,,,,,,
173,,,,,,
174,,,,,,
175,,,,,,
176,,,,,,
177,,,,,,
178,,,,,,
179,,,,,,
180,,,,,,
181,,,,,,
182,,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,FIRST_NAME LAST_NAME,Notice,"GREETINGCOMMA Valued Employee! It has come to our attention that certain employees may be gaming during work hours. This obviously reflects ADV_MANNER- on our company. If you suspect a coworker of this ADJ_DESCRIPTIVE- offense, please notify FIRST_NAME LAST_NAME. ",I have noticed FIRST_NAME LAST_NAME looking pleased now and then. It may just be their wife sending pictures of SUBJECTCOMMA though. Will update if I learn anything new.,,
201,spamspam@scam.com,Buy Now!,"GREETING! Are you lacking ADJ_DESCRIPTIVE+ things in your life? Well, do I have ADJ_DESCRIPTIVE+ news for you! For a small payment of $94.65, you can wash your troubles away! Don't think, just buy now, and have a ADV_DEGREE ADJ_DESCRIPTIVE+ rest of your life using our product!",We are not interested in your product. Please stop emailing us.,,
202,FIRST_NAME LAST_NAME,Job Application,"GREETING! My name is FIRST_NAME LAST_NAME. If there are any open positions, I would like to apply for a job as a AGENT. My resume should be attached to this email. Thank you.","GREETING! I am MC_FIRST NAME MC_LAST_NAME As it turns out, we do have that position open, and are currently looking to fill it. Come in at TIME on DAY_OF_WEEK next week, and we can discuss a potential career for you here.",,
203,FIRST_NAME LAST_NAME,Job Application,"Yo! I'm flat broke and need a job, and I hear you guys're hiring! I'm a pretty ADJ_DESCRIPTIVE+ dude, you may have heard of me. FIRST_NAME LAST_NAME? Famous streamer? Anyway, you should totally hire me! Let me know when to come in and start working! I'll see ya then!","GREETING. APOLOGY, but we do not currently have any positions available at the moment. Additionally, we- and most offices you may apply to- value formality more highly than online streaming fame, even if you are ADV_DEGREE ADJ_DESCRIPTIVE+ at it.",,
204,FIRST_NAME LAST_NAME,(no subject),"Dude! Did you see that SUBJECT last DAY_OF_WEEK?! Crazy, right?!","You really shouldn't be using work email for this kind of thing. We've been over this. We can talk at lunch or when we get out for the day. ...And AFFIRMATION, I did see it.",,
205,FIRST_NAME LAST_NAME,(no subject),"Dude! Did you see that SUBJECT last DAY_OF_WEEK?! Crazy, right?!","You really shouldn't be using work email for this kind of thing. We've been over this. We can talk at lunch or when we get out for the day. ...And NEGATION, I didn't see it, and don't think I want to.",,
206,FIRST_NAME LAST_NAME,For the presentation,I've attached the files you needed for the presentation later.,Thanks! I'll get on it as soon as I get the chance.,,
207,FIRST_NAME LAST_NAME,For the presentation,I've attached the files you needed for the presentation later.,I'm not involved in this project. Did you mean to send these to FIRST_NAME?,,
208,FIRST_NAME LAST_NAME,Send the files,This is FIRST_NAME LAST NAME from accounting. Could you send the SUBJECT files on by? Thanks.,"No problem! They should be attached, let me know if you need anything else.",,
209,FIRST_NAME LAST_NAME,Responsibilities,"GREETINGCOMMA Mr. MC_LAST_NAME. As I'm sure you are aware, there has been an effort to cut down on office-time gaming. LAST_NAME was caught in the act yesterday, and has been subsequently let go. We are requiring that you take over their responsibilities starting DAY_OF_WEEK next week until a replacement can be found. Thank you.","Thank you for informing me. To be clear, I will be paid an increased salary for these additional responsibilities, AFFIRMATION?",,
210,FIRST_NAME LAST_NAME,Incident Report,"Due to inappropriate office behavior, FIRST_NAME LAST_NAME has been recently let go. We will be choosing an employee to fill their role as AGENT until a replacement can be found. We are offering an increased salary to the employee who accepts these additional responsibilities, should they volunteer.",I'm swamped as it is. There's no way I'd be the ADJ_SUPERLATIVE choice for this.,,
211,FIRST_NAME LAST_NAME,Notice,GREETINGCOMMA employees. There will be a performance evaluation next week on DAY_OF_WEEK. Please respond to this email confirming it has been recieved.,Performance evaluation next week. Got it.,,
212,FIRST_NAME LAST_NAME,Need the files,I needed those files by yesterday. What's the hold up?!,Sorry! Got held up by technical difficultties. The files should be attached.,,
213,FIRST_NAME LAST_NAME,Notice,Important visitors will be present in the office on DAY_OF_WEEK. Be on your best behavior.,Got it.,,
214,scamscam@spam.org,You win!,Click here for a FREE UPHONE!,"I'm really sorry, but since you didn't include any links in your email, I couldn't fall for your scam even if I was stupid enough for it.",,
215,oroorooro@gil.org,¡Oro gratis!,¿Estás interesado en oro gratis? ¡Haga clic aquí!,"Not only is this the most basic scam in the books, I don't speak spanish.",,
216,FIRST_NAME LAST_NAME,(no subject),"Dude! Did you see that SUBJECT last DAY_OF_WEEK?! Crazy, right?!","You really shouldn't be using work email for this kind of thing. We've been over this. We can talk at lunch or when we get out for the day. ...And NEGATION, I didn't see it yet. I'll check it out later, though.",,
217,jibber@jab.com,al;sdjfba.dfkj,lkajsdlf;uvahsdoilHDJkCOMMAvoalj;ouldskvhblw;fdivanCOMMAsdljcanlsdki;acn/.sdacjls,...What does this even mean?,,
218,empresa@trabajo.org,¿Cooperación en un proyecto?,"Saludos. Soy FIRST_NAME LAST_NAME. En nombre de ASDF Industries, me gustaría proponer una colaboración entre nuestras organizaciones. Por favor responda tan pronto como sea conveniente. Gracias.","I am not fluent in Spanish, but I have forwarded your email to one of my superiors who is.",,
219,FIRST_NAME LAST_NAME,Coffee machine is STILL BROKEN!,THE COFFEE MACHINE IN THE LOUNGE IS STILL BROKEN! WHEN IS SOMEONE GONNA FIX IT?!,"Stop complaining to me. I have no say in the matter. If you actually care about it getting fixed, either complain to someone who does, or fix it yourself.",,
220,FIRST_NAME LAST_NAME,Inspection,"On DAY_OF_WEEK next week, an inspector will be visiting us from our branch in COUNTRY. Be sure to have your work area tidied and presentable by then, and ensure you do not get yourself sick or do anything which will prevent you from coming to work that day. We need to perform ADV_MANNER+ on our review.","Is someone planning to get the coffee machine fixed by then, or is the inspection not going to cover humane treatment of employees?",,
221,FIRST_NAME LAST_NAME,Bring your pet to work day!,"Tomorrow is bring your pet to work day! If you have a pet, bring them in! Fees for damages or additional cleaning bills your animal causes will be deducted from your paycheck.","FIRST_NAME brings their cat in half the time anyway. What's this change, exactly?",,
222,FIRST_NAME LAST_NAME,Microwaving fish,"Someone has been microwaving fish in the lounge. Many complains have already been made about the smell. If you are the one responsible for this, please prepare your meals at home. If you have information as to who is responsible, please inform us ASAP. Thank you.","I have no idea who's doing this, but I'll let you know if I see- or smell- anything important.",,
223,FIRST_NAME LAST_NAME,Retirement Party,"Next week, FIRST_NAME is going to be retiring. I thought it would be nice to throw them a retirement party, but I can't bring everything myself.",I can bring a cake! Any idea what kind of cake they like?,,
224,FIRST_NAME LAST_NAME,"Goodbye, everyone!","It's been a blast working here, but now, I'm announcing my retirement. I get the feeling you'll all do just fine without me. I wish you all luck on your future endeavors!",I hope you enjoy your retirement! It's been a blast working with you too.,,
225,FIRST_NAME LAST_NAME,Leaving,"After years of grueling away here with no respect and sub-par wages, I'm done. I'm quitting to be a full-time streamer. Goodbye and good riddance.",Send me a link to your channel. I'll watch some of your VODs when I get home.,,
226,FIRST_NAME LAST_NAME,Meeting Notification,All members of the COUNTRY division will be required to attend a meeting at TIME next DAY_OF_WEEK.,Would it kill you to only send these emails to employees who work in those divisions?,,
227,FIRST_NAME LAST_NAME,Tech issue,Can anyone good with computers help me out? I'm having some serious problems with mine. ,"I'm not too great at IT stuff, but I think FIRST_NAME is. Why not try asking them?",,
228,FIRST_NAME LAST_NAME,Lunch,You up to meet and chat during lunch?,"Sure! Not like there's much else to do, and it'll be good to catch up.",,
229,FIRST_NAME LAST_NAME,Desk switching,"Did you see the notice about the change in desk arrangements? I totally missed it until just now, so I figured I'd let you know, in case you did too","Don't worry, I saw it. And I'm not getting switched, either, so I'm good.",,
230,FIRST_NAME LAST_NAME,ID Photos,"Due to the installation of new security systems, all employees are being required to obtain new employee ID cards. Speak to LAST_NAME to get your new card printed. If you wish to have a new photo taken for your new card, please inform LAST_NAME first.",I'll pass on the new photo. The old one looks fine.,,
231,FIRST_NAME LAST_NAME,Survey,Please fill out these surveys on our company and policies.,"Done and done. Any particular reason for not having the usual ""additional thoughts here"" part at the end, or was that just forgotten?",,
232,FIRST_NAME LAST_NAME,Please stop,"Someone in this office has been photocopying their own rear. To whoever is doing this, please stop. If you feel compelled to do this, please do so on your own time, in your own home, and not waste company resources.",...Is someone seriously doing that? How childish can you be?,,
233,FIRST_NAME LAST_NAME,Missing paper,"I need to print some important documents, but the printer seems to be out of paper. I checked the supply closet, but instead of having printer paper, there's like 200 or something boxes of tissues. What is going on? And how am I supposed to get my job done?!","You should probably complain to your manager or boss directly about this. (Also, 200 boxes of tissues? Why the hell do we have 200 boxes of tissues? How badly did FIRST_NAME mess up that order?!)",,
234,FIRST_NAME LAST_NAME,Coffee,"A new office policy has just been instated. From this point forward, employees will be required to pay for their coffee in the break room.","In other words, you went over-budget redecorating your office, and now you're trying to cover your tracks by making us pay for it. This is not going to turn out well for you, considering the mass exodus of resignations I have no doubt you'll be buried under soon.",,
235,FIRST_NAME LAST_NAME,Notice,Notice: Mandatory sexual harassment training has been postponed indefinitely.,Suspended until you find a trainer who practices what they preach? Probably a good idea.,,
236,FIRST_NAME LAST_NAME,How to contact?,"Do you have FIRST_NAME's phone number? I was supposed to call them about something, but I lost the note I wrote their number on.",The emails of everyone working here is just their first and last name. Why not just email them and ask them directly?,,
237,FIRST_NAME LAST_NAME,Out of office,"For those it concerns, FIRST_NAME LAST_NAME is working from home today with a mild cold. If you need to contact them, you will need to do so via email.","Got it! Might as well send them a ""get well soon"" or something, too.",,
238,constantnewsletters@annoyance.com,Weekly Newsletter!,Here is your free weekly newsletter!,I have no interest in this newsletter. How do I unsubscribe?,,
239,FIRST_NAME LAST_NAME,My new kitty!,I just got a kitty yesterday! Look how cute and fluffy they are!,"Dude, you forgot to attach the pic. You can't tease a guy with the promise of kitten pics and then not attach them!",,
240,FIRST_NAME LAST_NAME,Important Notice,"Our systems will be transitioning to a new operating system in the near future. Please be sure to back up all important files in case of data corruption, or some other unforseen issue.","Does that mean we should download them to memory sticks, or upload them to the cloud? Or both?",,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
